ID	IDlab	Cluster	trip_start	trip_ID	max_dist	observations	total_dist	avg_hours	min_hours	max_hours
TMC13	TMC13: Hope	1	2015-09-25T14:00:00Z	TMC13_Den1_Trip1	445.897736794142	3	919.722429185271	9	6	12
TMC13	TMC13: Hope	1	2015-09-26T14:00:00Z	TMC13_Den1_Trip2	1654.72505697461	5	3772.30818127677	15	12	18
TMC13	TMC13: Hope	1	2015-09-27T14:00:00Z	TMC13_Den1_Trip3	863.065883655418	3	1789.3262499452	9	6	12
TMC13	TMC13: Hope	1	2015-09-28T14:00:00Z	TMC13_Den1_Trip4	1653.60707458245	7	6378.54022853235	21	18	24
TMC13	TMC13: Hope	1	2015-09-30T11:00:00Z	TMC13_Den1_Trip5	1079.36448647145	7	3301.02711402998	21	18	24
TMC13	TMC13: Hope	1	2015-10-01T14:00:00Z	TMC13_Den1_Trip6	1097.83553783164	6	2547.9585231785	18	15	21
TMC13	TMC13: Hope	1	2015-10-02T11:00:00Z	TMC13_Den1_Trip7	264.679910437455	2	538.712446331466	6	3	9
TMC13	TMC13: Hope	1	2015-10-03T05:00:00Z	TMC13_Den1_Trip8	994.452307147045	2	2062.32598286505	6	3	9
TMC13	TMC13: Hope	1	2015-10-04T23:00:00Z	TMC13_Den1_Trip9	833.713671357612	4	1702.33138492552	12	9	15
TMC13	TMC13: Hope	1	2015-10-06T02:00:00Z	TMC13_Den1_Trip10	934.255469773182	6	2220.113499741	18	15	21
TMC13	TMC13: Hope	1	2015-10-06T23:00:00Z	TMC13_Den1_Trip11	1008.94751680287	7	2964.91985760516	21	18	24
TMC13	TMC13: Hope	1	2015-10-08T11:00:00Z	TMC13_Den1_Trip12	823.061058667785	5	1692.77366913554	15	12	18
TMC13	TMC13: Hope	2	2015-10-10T11:00:00Z	TMC13_Den2_Trip1	1597.48980716791	5	3246.51062849353	15	12	18
TMC13	TMC13: Hope	2	2015-10-11T08:00:00Z	TMC13_Den2_Trip2	389.850567963864	5	1640.71439851953	15	12	18
TMC13	TMC13: Hope	2	2015-10-12T14:00:00Z	TMC13_Den2_Trip3	1624.89998957415	12	4179.80004206265	36	33	39
TMC13	TMC13: Hope	2	2015-10-14T08:00:00Z	TMC13_Den2_Trip4	1413.82096175029	15	9071.02579149749	45	42	48
TMC13	TMC13: Hope	2	2015-10-16T14:00:00Z	TMC13_Den2_Trip5	204.433106933649	2	420.254284098629	6	3	9
TMC13	TMC13: Hope	2	2015-10-16T23:00:00Z	TMC13_Den2_Trip6	1230.05119408636	7	3513.83980709854	21	18	24
TMC13	TMC13: Hope	2	2015-10-18T08:00:00Z	TMC13_Den2_Trip7	1908.53657386764	8	3889.95915644217	24	21	27
TMC13	TMC13: Hope	2	2015-10-19T20:00:00Z	TMC13_Den2_Trip8	1911.46901851315	6	3923.29749362141	18	15	21
TMC13	TMC13: Hope	2	2015-10-21T05:00:00Z	TMC13_Den2_Trip9	1092.06941859801	9	3436.06548377899	27	24	30
TMC13	TMC13: Hope	2	2015-10-23T08:00:00Z	TMC13_Den2_Trip10	668.584395594928	3	2005.85063925686	9	6	12
TMC13	TMC13: Hope	2	2015-10-24T02:00:00Z	TMC13_Den2_Trip11	1184.74982857664	5	3411.64663914634	15	12	18
TMC13	TMC13: Hope	2	2015-10-25T02:00:00Z	TMC13_Den2_Trip12	978.733476390695	2	1969.42525503995	6	3	9
TMC13	TMC13: Hope	2	2015-10-26T02:00:00Z	TMC13_Den2_Trip13	1951.30380131292	9	4399.19224048948	27	24	30
TMC13	TMC13: Hope	2	2015-10-28T08:00:00Z	TMC13_Den2_Trip14	1260.63373067536	4	2914.95787041729	12	9	15
TMC13	TMC13: Hope	2	2015-10-29T11:00:00Z	TMC13_Den2_Trip15	1241.38215271358	3	2520.51929615421	9	6	12
TMC13	TMC13: Hope	2	2015-10-30T05:00:00Z	TMC13_Den2_Trip16	2136.65066512439	6	4924.37696024744	18	15	21
TMC13	TMC13: Hope	2	2015-10-31T11:00:00Z	TMC13_Den2_Trip17	1051.43917958046	4	2193.70581811143	12	9	15
TMC13	TMC13: Hope	2	2015-11-01T02:00:00Z	TMC13_Den2_Trip18	1066.64406978321	4	2183.42395905222	12	9	15
TMC13	TMC13: Hope	2	2015-11-02T08:00:00Z	TMC13_Den2_Trip19	696.50469306808	2	1393.0142363727	6	3	9
TMC13	TMC13: Hope	2	2015-11-03T08:00:00Z	TMC13_Den2_Trip20	671.416663371252	1	1340.84069217743	3	0	6
TMC13	TMC13: Hope	2	2015-11-03T17:00:00Z	TMC13_Den2_Trip21	1772.85809875802	4	3706.82038064056	12	9	15
TMC13	TMC13: Hope	2	2015-11-04T14:00:00Z	TMC13_Den2_Trip22	1148.82585887302	4	4058.51045441323	12	9	15
TMC13	TMC13: Hope	2	2015-11-05T08:00:00Z	TMC13_Den2_Trip23	1252.05935077927	4	2602.86716538815	12	9	15
TMC03	TMC03: Fire Lily	1	2016-01-03T20:00:00Z	TMC03_Den1_Trip1	529.265563413488	2	1366.82473553258	6	3	9
TMC03	TMC03: Fire Lily	1	2016-01-04T08:00:00Z	TMC03_Den1_Trip2	158.26668722772	1	319.959714994308	3	0	6
TMC03	TMC03: Fire Lily	1	2016-01-04T20:00:00Z	TMC03_Den1_Trip3	984.649408530759	2	1970.59259704242	6	3	9
TMC03	TMC03: Fire Lily	1	2016-01-05T23:00:00Z	TMC03_Den1_Trip4	811.451893851303	1	1585.50673604449	3	0	6
TMC03	TMC03: Fire Lily	1	2016-01-06T17:00:00Z	TMC03_Den1_Trip5	1313.10886153255	3	2696.45296966845	9	6	12
TMC03	TMC03: Fire Lily	1	2016-01-07T14:00:00Z	TMC03_Den1_Trip6	987.964034191674	4	2848.23192829633	12	9	15
TMC03	TMC03: Fire Lily	1	2016-01-08T11:00:00Z	TMC03_Den1_Trip7	1422.54992316027	4	3280.53839033616	12	9	15
TMC03	TMC03: Fire Lily	1	2016-01-09T14:00:00Z	TMC03_Den1_Trip8	325.00841457458	2	720.887943811166	6	3	9
TMC03	TMC03: Fire Lily	1	2016-01-10T08:00:00Z	TMC03_Den1_Trip9	171.861014115623	1	353.223173638035	3	0	6
TMC03	TMC03: Fire Lily	1	2016-01-10T20:00:00Z	TMC03_Den1_Trip10	1307.77082812386	3	2822.92549972859	9	6	12
TMC03	TMC03: Fire Lily	1	2016-01-11T11:00:00Z	TMC03_Den1_Trip11	2957.77660358007	5	7978.44387757887	15	12	18
