ID,Time,Date,Latitude,Longitude
TMC28,8:00:00,9/23/2016,-34.350227,18.474103
TMC28,11:00:00,9/23/2016,-34.350112,18.474155
TMC28,14:00:00,9/23/2016,-34.34996,18.47431
TMC28,17:00:00,9/23/2016,-34.351435,18.472652
TMC28,20:00:00,9/23/2016,-34.356733,18.476852
TMC28,23:00:00,9/24/2016,-34.350257,18.474003
TMC28,2:00:00,9/24/2016,-34.350248,18.474207
TMC28,5:00:00,9/24/2016,-34.350452,18.474212
TMC28,8:00:00,9/24/2016,-34.350295,18.47399
TMC28,11:00:00,9/24/2016,-34.350337,18.474072
TMC28,14:00:00,9/24/2016,-34.350127,18.47407
TMC28,17:00:00,9/24/2016,-34.350345,18.473922
TMC28,20:00:00,9/24/2016,-34.35579,18.476558
TMC28,23:00:00,9/25/2016,-34.350278,18.473927
TMC28,5:00:00,9/25/2016,-34.350222,18.474012
TMC28,8:00:00,9/25/2016,-34.349835,18.474272
TMC28,11:00:00,9/25/2016,-34.350555,18.474448
TMC28,14:00:00,9/25/2016,-34.350303,18.474317
TMC28,17:00:00,9/25/2016,-34.350355,18.473972
TMC28,20:00:00,9/25/2016,-34.357148,18.473613
TMC28,23:00:00,9/26/2016,-34.35054,18.47401
TMC28,2:00:00,9/26/2016,-34.34988,18.474235
TMC28,5:00:00,9/26/2016,-34.350027,18.474205
TMC28,8:00:00,9/26/2016,-34.349795,18.474705
TMC28,11:00:00,9/26/2016,-34.34944,18.47465
TMC28,14:00:00,9/26/2016,-34.350393,18.473998
TMC28,17:00:00,9/26/2016,-34.35024,18.473848
TMC28,2:00:00,9/27/2016,-34.356258,18.47757
TMC28,17:00:00,9/27/2016,-34.350207,18.474275
TMC28,20:00:00,9/27/2016,-34.350287,18.47406
TMC28,23:00:00,9/28/2016,-34.350392,18.47382
TMC28,2:00:00,9/28/2016,-34.352703,18.471483
TMC28,5:00:00,9/28/2016,-34.350233,18.473953
TMC28,8:00:00,9/28/2016,-34.350245,18.47395
TMC28,11:00:00,9/28/2016,-34.350533,18.473942
TMC28,14:00:00,9/28/2016,-34.350373,18.473945
TMC28,17:00:00,9/28/2016,-34.35028,18.473955
TMC28,23:00:00,9/29/2016,-34.349523,18.474717
TMC28,2:00:00,9/29/2016,-34.354813,18.479878
TMC28,5:00:00,9/29/2016,-34.350247,18.47425
TMC28,8:00:00,9/29/2016,-34.349855,18.474153
TMC28,11:00:00,9/29/2016,-34.35043,18.473907
TMC28,20:00:00,9/29/2016,-34.350208,18.474023
TMC28,23:00:00,9/30/2016,-34.350333,18.474067
TMC28,2:00:00,9/30/2016,-34.35027,18.474127
TMC28,5:00:00,9/30/2016,-34.349688,18.474883
TMC28,8:00:00,9/30/2016,-34.350047,18.474132
TMC28,11:00:00,9/30/2016,-34.350082,18.473975
TMC28,17:00:00,9/30/2016,-34.355923,18.478998
TMC28,20:00:00,9/30/2016,-34.353263,18.47816
TMC28,23:00:00,10/1/2016,-34.350218,18.473927
TMC28,8:00:00,10/1/2016,-34.35017,18.47392
TMC28,11:00:00,10/1/2016,-34.350642,18.474
TMC28,14:00:00,10/1/2016,-34.350458,18.474013
TMC28,17:00:00,10/1/2016,-34.350258,18.473967
TMC28,20:00:00,10/1/2016,-34.35621,18.479772
TMC28,23:00:00,10/2/2016,-34.353353,18.478612
TMC28,2:00:00,10/2/2016,-34.350163,18.47397
TMC28,5:00:00,10/2/2016,-34.350215,18.473933
TMC28,8:00:00,10/2/2016,-34.350442,18.474027
TMC28,11:00:00,10/2/2016,-34.350237,18.474008
TMC28,14:00:00,10/2/2016,-34.350237,18.474053
TMC28,17:00:00,10/2/2016,-34.351218,18.47116
TMC28,20:00:00,10/2/2016,-34.355742,18.475957
TMC28,23:00:00,10/3/2016,-34.350188,18.473948
TMC28,2:00:00,10/3/2016,-34.35018,18.474035
TMC28,8:00:00,10/3/2016,-34.350135,18.473852
TMC28,14:00:00,10/3/2016,-34.35051,18.473795
TMC28,17:00:00,10/3/2016,-34.351888,18.473527
TMC28,20:00:00,10/3/2016,-34.345407,18.462458
TMC28,23:00:00,10/4/2016,-34.351953,18.471125
TMC28,2:00:00,10/4/2016,-34.351697,18.472447
TMC28,5:00:00,10/4/2016,-34.350087,18.473993
TMC28,8:00:00,10/4/2016,-34.350245,18.473902
TMC28,11:00:00,10/4/2016,-34.350433,18.47393
TMC28,14:00:00,10/4/2016,-34.350367,18.473972
TMC28,17:00:00,10/4/2016,-34.35322,18.478307
TMC28,20:00:00,10/4/2016,-34.356495,18.473213
TMC28,23:00:00,10/5/2016,-34.349045,18.474318
TMC28,2:00:00,10/5/2016,-34.350282,18.473985
TMC28,5:00:00,10/5/2016,-34.350085,18.472297
TMC28,8:00:00,10/5/2016,-34.346418,18.466808
TMC28,11:00:00,10/5/2016,-34.346923,18.467203
TMC28,14:00:00,10/5/2016,-34.348005,18.467943
TMC28,17:00:00,10/5/2016,-34.350272,18.474008
TMC28,20:00:00,10/5/2016,-34.353217,18.478358
TMC28,23:00:00,10/6/2016,-34.353377,18.477695
TMC28,2:00:00,10/6/2016,-34.349753,18.473867
TMC28,5:00:00,10/6/2016,-34.349692,18.473602
TMC28,11:00:00,10/6/2016,-34.348203,18.475538
TMC28,14:00:00,10/6/2016,-34.348917,18.47435
TMC28,17:00:00,10/6/2016,-34.354993,18.473735
TMC28,20:00:00,10/6/2016,-34.347775,18.46729
TMC28,23:00:00,10/7/2016,-34.348912,18.474377
TMC28,2:00:00,10/7/2016,-34.348958,18.474285
TMC28,5:00:00,10/7/2016,-34.348688,18.474427
TMC28,8:00:00,10/7/2016,-34.348687,18.472487
TMC28,11:00:00,10/7/2016,-34.348303,18.473783
TMC28,14:00:00,10/7/2016,-34.348617,18.475067
TMC28,17:00:00,10/7/2016,-34.348933,18.47448
TMC28,20:00:00,10/7/2016,-34.356657,18.47695
TMC28,23:00:00,10/8/2016,-34.348935,18.474412
TMC28,2:00:00,10/8/2016,-34.34884,18.474548
TMC28,8:00:00,10/8/2016,-34.348533,18.474372
