ID	Cluster	trip_start	trip_ID	max_dist	total_dist	total_hours
TMC03	1	2016-01-16T14:00:00Z	TMC03_Den1_Trip17	3003.09772640242	6051.57495451563	24
TMC03	1	2016-01-18T02:00:00Z	TMC03_Den1_Trip18	127.911612351459	252.463245893662	6
TMC03	1	2016-01-18T17:00:00Z	TMC03_Den1_Trip19	2596.73123439825	5235.4676120316	15
TMC03	1	2016-01-19T11:00:00Z	TMC03_Den1_Trip20	294.264133888228	594.370716469202	12
TMC03	1	2016-01-20T02:00:00Z	TMC03_Den1_Trip21	226.814130285291	494.627906289574	9
TMC03	1	2016-01-20T11:00:00Z	TMC03_Den1_Trip22	1103.81489904214	3964.55152863406	24
TMC03	1	2016-01-21T11:00:00Z	TMC03_Den1_Trip23	925.736995084792	2141.70438566655	15
TMC03	1	2016-01-22T02:00:00Z	TMC03_Den1_Trip24	1782.61385581012	3602.2989925853	9
TMC03	1	2016-01-22T20:00:00Z	TMC03_Den1_Trip25	2900.9875196399	5803.87372272966	12
TMC03	1	2016-01-23T11:00:00Z	TMC03_Den1_Trip26	3021.06000112521	7537.81594915002	21
TMC03	1	2016-01-24T11:00:00Z	TMC03_Den1_Trip27	616.322174307207	1253.92260090908	12
TMC03	1	2016-01-25T08:00:00Z	TMC03_Den1_Trip28	297.244922710363	618.303367482351	12
TMC03	1	2016-01-26T11:00:00Z	TMC03_Den1_Trip29	330.691302819414	664.01350705783	9
TMC03	1	2016-01-26T20:00:00Z	TMC03_Den1_Trip30	403.244710358829	1387.39640897824	15
TMC03	1	2016-01-27T11:00:00Z	TMC03_Den1_Trip31	2921.4610861655	7533.39628142161	27
TMC03	1	2016-01-28T17:00:00Z	TMC03_Den1_Trip32	1728.7872761395	4143.35288475379	18
TMC28	1	2016-09-10T02:00:00Z	TMC28_Den1_Trip1	145.759058374333	145.759058374333	6
TMC28	1	2016-09-10T20:00:00Z	TMC28_Den1_Trip2	611.426318292	1148.82443724883	6
TMC28	1	2016-09-12T02:00:00Z	TMC28_Den1_Trip3	819.617931257181	1624.53721981637	6
TMC28	1	2016-09-13T02:00:00Z	TMC28_Den1_Trip4	315.470323264733	638.655350759254	6
TMC27	1	2016-09-13T11:00:00Z	TMC27_Den1_Trip1	211.924873196006	438.266476486646	9
TMC28	1	2016-09-13T20:00:00Z	TMC28_Den1_Trip5	255.430800447057	527.895916927324	6
TMC27	1	2016-09-14T08:00:00Z	TMC27_Den1_Trip2	409.395821076238	871.483431992863	9
TMC27	1	2016-09-14T17:00:00Z	TMC27_Den1_Trip3	252.741860479604	508.884608983163	6
TMC28	1	2016-09-14T17:00:00Z	TMC28_Den1_Trip6	1652.26906723872	3793.43482852486	12
TMC27	1	2016-09-15T08:00:00Z	TMC27_Den1_Trip4	1856.13634529082	5460.97529194573	39
TMC28	1	2016-09-15T17:00:00Z	TMC28_Den1_Trip7	776.408074393125	1722.13476813409	9
TMC28	1	2016-09-16T17:00:00Z	TMC28_Den1_Trip8	784.82097252232	2065.96336689753	9
TMC27	1	2016-09-17T11:00:00Z	TMC27_Den1_Trip5	497.532001702345	995.648741825087	9
TMC28	1	2016-09-17T17:00:00Z	TMC28_Den1_Trip9	787.262811935129	2027.68777900255	9
TMC27	1	2016-09-18T08:00:00Z	TMC27_Den1_Trip6	3647.74723179309	11168.4294833971	72
TMC28	1	2016-09-18T14:00:00Z	TMC28_Den1_Trip10	1312.40863361008	3118.08984506019	12
TMC28	1	2016-09-19T17:00:00Z	TMC28_Den1_Trip11	788.715603179414	1583.81585300234	9
TMC28	1	2016-09-20T17:00:00Z	TMC28_Den1_Trip12	1327.20822504739	4009.40156570889	9
TMC28	1	2016-09-21T02:00:00Z	TMC28_Den1_Trip13	1397.00685571602	4898.2511789016	27
TMC27	1	2016-09-22T11:00:00Z	TMC27_Den1_Trip7	239.9058683104	514.906978922305	12
TMC28	1	2016-09-22T17:00:00Z	TMC28_Den1_Trip14	850.903176971684	1601.48552064371	6
TMC27	1	2016-09-23T08:00:00Z	TMC27_Den1_Trip8	137.649623940415	283.496959678479	6
TMC28	1	2016-09-23T17:00:00Z	TMC28_Den1_Trip15	766.195622286999	1651.46980925771	9
TMC27	1	2016-09-24T14:00:00Z	TMC27_Den1_Trip9	315.005244316743	723.452079789798	6
TMC28	1	2016-09-24T20:00:00Z	TMC28_Den1_Trip16	658.383781885121	1311.13712124645	6
TMC27	1	2016-09-25T02:00:00Z	TMC27_Den1_Trip10	339.020078550843	768.126333344784	15
TMC27	1	2016-09-25T17:00:00Z	TMC27_Den1_Trip11	345.59780842045	688.28486354542	6
TMC28	1	2016-09-25T20:00:00Z	TMC28_Den1_Trip17	767.293896760922	1524.20659534001	6
TMC27	1	2016-09-26T11:00:00Z	TMC27_Den1_Trip12	1155.69148289315	2729.67098258972	15
TMC28	1	2016-09-27T02:00:00Z	TMC28_Den1_Trip18	743.325109395222	1459.01052086551	6
TMC27	1	2016-09-27T11:00:00Z	TMC27_Den1_Trip13	3560.83304419396	7789.4273165082795	33
TMC28	1	2016-09-28T02:00:00Z	TMC28_Den1_Trip19	357.25120861524	715.615637452912	6
TMC28	1	2016-09-29T02:00:00Z	TMC28_Den1_Trip20	739.98398392171	1483.06901327727	6
TMC27	1	2016-09-29T08:00:00Z	TMC27_Den1_Trip14	816.30923034798	2672.84351334251	18
TMC27	1	2016-09-30T14:00:00Z	TMC27_Den1_Trip15	3544.27435451797	7332.14441683463	36
TMC28	1	2016-09-30T17:00:00Z	TMC28_Den1_Trip21	779.291246989293	1592.33800162148	9
TMC28	1	2016-10-01T20:00:00Z	TMC28_Den1_Trip22	847.865708067127	1698.52413342811	6
TMC28	1	2016-10-02T17:00:00Z	TMC28_Den1_Trip23	635.676979122205	1858.04088860812	12
TMC28	1	2016-10-03T17:00:00Z	TMC28_Den1_Trip24	1191.25375696888	2624.6504062358	9
TMC28	1	2016-10-04T02:00:00Z	TMC28_Den1_Trip25	214.62584373935	431.991214728362	6
TMC28	1	2016-10-04T17:00:00Z	TMC28_Den1_Trip26	697.579782620282	1973.3656898501	12
TMC28	2	2016-10-05T02:00:00Z	TMC28_Den2_Trip1	694.618666544783	2963.64622667848	24
TMC28	1	2016-10-05T05:00:00Z	TMC28_Den1_Trip27	788.098721692998	1624.15752052149	15
TMC27	1	2016-10-05T11:00:00Z	TMC27_Den1_Trip16	231.847281762674	869.955056108635	15
TMC28	1	2016-10-05T20:00:00Z	TMC28_Den1_Trip28	517.649293072463	1250.79892574546	9
TMC27	1	2016-10-06T08:00:00Z	TMC27_Den1_Trip17	127.549933998735	266.659439898685	6
TMC28	2	2016-10-06T11:00:00Z	TMC28_Den2_Trip2	167.653185075557	410.829163923638	6
TMC27	1	2016-10-06T17:00:00Z	TMC27_Den1_Trip18	170.575027957015	378.032188996619	6
TMC28	2	2016-10-06T17:00:00Z	TMC28_Den2_Trip3	697.413890589388	3465.02417640482	12
TMC27	1	2016-10-07T08:00:00Z	TMC27_Den1_Trip19	366.976172704438	1975.5124783424	36
